Filepath,Label
preprocessed/21_gaf/gaf_mid/20.png,gaf_mid
preprocessed/21_gaf/gaf_mid/22.png,gaf_mid
preprocessed/21_gaf/gaf_mid/42.png,gaf_mid
preprocessed/21_gaf/gaf_mid/49.png,gaf_mid
preprocessed/21_gaf/gaf_mid/21.png,gaf_mid
preprocessed/21_gaf/gaf_mid/25.png,gaf_mid
preprocessed/21_gaf/gaf_mid/18.png,gaf_mid
preprocessed/21_gaf/gaf_mid/57.png,gaf_mid
preprocessed/21_gaf/gaf_mid/4.png,gaf_mid
preprocessed/21_gaf/gaf_mid/16.png,gaf_mid
preprocessed/21_gaf/gaf_mid/17.png,gaf_mid
preprocessed/21_gaf/gaf_mid/23.png,gaf_mid
preprocessed/21_gaf/gaf_mid/24.png,gaf_mid
preprocessed/21_gaf/gaf_mid/9.png,gaf_mid
preprocessed/21_gaf/gaf_mid/104.png,gaf_mid
preprocessed/21_gaf/gaf_mid/8.png,gaf_mid
preprocessed/21_gaf/gaf_mid/101.png,gaf_mid
preprocessed/21_gaf/gaf_mid/65.png,gaf_mid
preprocessed/21_gaf/gaf_mid/39.png,gaf_mid
preprocessed/21_gaf/gaf_mid/56.png,gaf_mid
preprocessed/21_gaf/gaf_end/51.png,gaf_end
preprocessed/21_gaf/gaf_end/94.png,gaf_end
preprocessed/21_gaf/gaf_end/61.png,gaf_end
preprocessed/21_gaf/gaf_end/19.png,gaf_end
preprocessed/21_gaf/gaf_end/112.png,gaf_end
preprocessed/21_gaf/gaf_end/79.png,gaf_end
preprocessed/21_gaf/gaf_end/103.png,gaf_end
preprocessed/21_gaf/gaf_end/1.png,gaf_end
preprocessed/21_gaf/gaf_end/48.png,gaf_end
preprocessed/21_gaf/gaf_end/114.png,gaf_end
preprocessed/21_gaf/gaf_end/14.png,gaf_end
preprocessed/21_gaf/gaf_end/88.png,gaf_end
preprocessed/21_gaf/gaf_end/85.png,gaf_end
preprocessed/21_gaf/gaf_end/74.png,gaf_end
preprocessed/21_gaf/gaf_end/40.png,gaf_end
preprocessed/21_gaf/gaf_end/63.png,gaf_end
preprocessed/21_gaf/gaf_end/41.png,gaf_end
preprocessed/21_gaf/gaf_end/3.png,gaf_end
preprocessed/21_gaf/gaf_end/11.png,gaf_end
preprocessed/21_gaf/gaf_end/36.png,gaf_end
preprocessed/21_gaf/gaf_begin/99.png,gaf_begin
preprocessed/21_gaf/gaf_begin/58.png,gaf_begin
preprocessed/21_gaf/gaf_begin/97.png,gaf_begin
preprocessed/21_gaf/gaf_begin/105.png,gaf_begin
preprocessed/21_gaf/gaf_begin/96.png,gaf_begin
preprocessed/21_gaf/gaf_begin/28.png,gaf_begin
preprocessed/21_gaf/gaf_begin/55.png,gaf_begin
preprocessed/21_gaf/gaf_begin/164.png,gaf_begin
preprocessed/21_gaf/gaf_begin/110.png,gaf_begin
preprocessed/21_gaf/gaf_begin/43.png,gaf_begin
preprocessed/21_gaf/gaf_begin/82.png,gaf_begin
preprocessed/21_gaf/gaf_begin/100.png,gaf_begin
